Stock,Date,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,Bollinger_Upper,Bollinger_Lower,GDP_Growth,Inflation_Rate,Interest_Rate,Sentiment_Score,Next_Close,Target
AAPL,2016-01-01,143.7267235329002,146.2191528,142.299804,146.03737290327393,1785852,206.1073332801286,12.642499574815638,-0.727823864,158.7069907649692,132.1709967596182,2.963864523898771,2.762106425,0.7790043390820334,-0.605840918,145.1454974,0
AAPL,2016-01-07,359.71168853572794,374.3155668532603,347.4549564213649,358.74676164280413,4259686,348.3770643368127,17.522800673943976,-2.832542298,364.9432705528225,351.99302284813933,2.747475553435055,1.9045490571253116,4.703584415646738,0.4259335778997497,360.7893624391496,1
AAPL,2016-01-13,377.35327048686895,383.66551589650305,377.8401424226075,381.17660355559923,3642407,296.8915971307956,60.64440499792396,-3.205962767,391.8645713218614,369.3539892466946,2.9464954749609253,1.6150364566732078,3.5299840301316054,-0.011980603,375.59930465182924,0
AAPL,2016-01-19,399.3555823759601,409.5324284006742,391.1658822162803,394.2069748449897,4270848,323.5949645,43.254933081180326,-0.353457727,405.29264668581254,384.59104245468217,3.126998974005566,2.316604588992045,4.305424060444638,-0.174303683,394.7326226415196,1
AAPL,2016-01-21,234.16183197247602,243.74521045087755,233.25929579900236,234.07453582733416,4649512,211.64028952099957,56.41714024073054,-4.981308801,245.82959662377561,223.1056318419896,3.4389224042545203,2.641747013550879,1.508572401612639,-0.915739537,230.08720520462936,0
AAPL,2016-01-28,240.78771716930547,248.2839701935296,229.52808154132418,239.03428975364156,1345224,260.03430499613165,11.883312118480891,-2.393191826,246.5985454748205,227.45331513320355,3.2663552668614972,2.299156589806449,1.9966491033109213,-0.631723172,239.97382025870408,1
AAPL,2016-01-29,364.6629047896938,373.3194959216129,357.2548266350512,369.8455956,1419617,311.2026303,80.93609256781717,-1.379684348,375.4534793673742,363.8078577021651,2.900287714,2.5450145072019374,1.1036829951246039,0.9553920761234982,376.0550560294296,1
AAPL,2016-02-16,352.83215165048887,359.7695406047506,339.1957219923386,346.7499881896598,1273776,260.38772459150834,88.76437527,4.116532584540689,353.4954491787185,334.7720766618189,3.4489085856910813,2.448334831533462,2.8238896281089505,-0.300702624,341.63746631897527,0
AAPL,2016-02-26,280.16985423850304,286.48572984791815,270.1057081142459,280.6414243616011,1283819,280.9152335,70.25462786653279,2.081587201931261,290.09280669395775,267.79565620913894,3.3827357351022744,1.9848938940872887,2.131143571124098,-0.430487032,278.81111948402446,0
AAPL,2016-02-29,422.46713979351966,422.72396878323184,416.1116797892339,416.8527185796234,3647834,277.38689607577476,45.94921847528644,2.7264173967990315,423.3656520368983,408.3273363881179,3.1963587945681957,1.7576217423995355,3.7801291799540437,-0.515596248,418.02799672723086,1
AAPL,2016-03-07,319.6609001086214,329.4069933,305.06158504934325,315.77315707125695,533343,249.1938645668314,31.593969240010573,3.690959721790021,325.41141069015276,307.1574040752632,3.1138563231712424,1.6330622849547716,2.6441398409177794,-0.651140067,318.1772508,1
AAPL,2016-03-09,346.43280675387655,362.30850121832884,335.6643674322932,352.0905360687272,589207,350.5614287,28.733244373988896,-0.414264622,362.6003293295106,340.78412853928904,3.406590120883009,2.789027960732754,0.6476282192426519,-0.403805875,351.8635657,0
AAPL,2016-03-14,262.7537453527216,261.51056142492365,259.1920291893208,261.2049557694726,4226483,250.4681883396828,22.408713122682443,-4.056365806,272.96228409170385,248.7358153498535,3.310454219,2.9062670979863245,1.3197464444116513,-0.171558059,261.99133009596534,1
